1	 2 	b
2	 4 	b
3	 8 	b
4	 16 	b
5	 32 	b
6	 64 	b
7	 128 	b
8	 256 	b
9	 512 	b
10	 1,024 	k
11	 2,048 	k
12	 4,096 	k
13	 8,192 	k
14	 16,384 	k
15	 32,768 	k
16	 65,536 	k
17	 131,072 	k
18	 262,144 	k
19	 524,288 	k
20	 1,048,576 	m
21	 2,097,152 	m
22	 4,194,304 	m
23	 8,388,608 	m
24	 16,777,216 	m
25	 33,554,432 	m
26	 67,108,864 	m
27	 134,217,728 	m
28	 268,435,456 	m
29	 536,870,912 	m
30	 1,073,741,824 	g
31	 2,147,483,648 	g
32	 4,294,967,296 	g
33	 8,589,934,592 	g
34	 17,179,869,184 	g
35	 34,359,738,368 	g
36	 68,719,476,736 	g
37	 137,438,953,472 	g
38	 274,877,906,944 	g
39	 549,755,813,888 	g
40	 1,099,511,627,776 	t
